Council,Financial year,Opinion type,Type 1,Nature 1,Description 1,Type 2,Nature 2,Description 2,Type 3,Nature 3,Description 3,Type 4,Nature 4,Description 4,Type 5,Nature 5,Description 5,Type 6,Nature 6,Description 6,Type 7,Description 7,Type 8,Description 8,Latitude,Longitude
Masterton District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. We drew attention to disclosures outlining the uncertainty of financial impact over the Council's decision to deliver water services by establishing a multi-owned water organisation with South Wairarapa, Carterton and Tararua District Councils from 1 July 2027 in response to the Government's Local Water Done Well reforms. This is because the details of the exact arrangements are still being considered and the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-40.95049302,175.66087725
New Plymouth District Council,2024/25,Non-standard,Qualified opinion,Service performance: Resource consents processing time,"Our work was limited in the prior year with respect to the performance measure on the percentage of non-notified resource management consents processed within statutory timeframes. An important part of the Council’s service performance is the percentage of resource management consent applications processed in accordance with statutory timeframes. In the prior year, our audit testing of a sample of non-notified resource management consents identified issues with the recorded processing times not agreeing to underlying consent information. This matter is described on page 29 of the annual report. Due to the extent of the differences we identified, we were unable to determine whether the Council’s reported result for this measure was materially correct. As a result, our work was limited and there were no practicable audit procedures we could apply to obtain assurance over the result for this performance measure for the year ended 30 June 2024, reported as comparative information.",,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without further modifying our opinion, we draw attention to note 28 on page 147, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a wholly owned water organisation to deliver water and wastewater with stormwater management to remain in-house. There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-39.0592551,174.0765919
Stratford District Council,2024/25,Non-standard,Qualified opinion,Service performance: Smooth travel exposure,"Statement of service performance: Our work was limited with respect to the average quality of ride on the sealed local road network, measured by smooth travel exposure. The District Council is required to report against the performance measures set out in the NonFinancial Performance Measure Rules 2024 (the Rules) made by the Secretary for Local Government. This includes the mandatory performance measure relating to ‘The average quality of ride on the sealed local road network, measured by smooth travel exposure’ disclosed on page 61 of the annual report. This performance measure is important as it is indicative of the quality of service provided to the community. Reported performance of this performance measure is based on surveys of road roughness and traffic volumes. The traffic volumes are based on actual counts of certain roads and the use of these counts to estimate traffic volumes on the rest of the sealed local road network. We were unable to obtain assurance over the reliability of estimated traffic volumes used in the calculation of this performance measure. This was because the actual traffic counts used as an input to estimated traffic volumes are not sufficiently up to date, with only a small portion of the road network having counts in the last two years.

In addition, Council identified certain anomalies in its estimations of traffic volumes which are yet to be resolved. Therefore, the Council does not have sufficiently reliable data to calculate the average quality of ride on the sealed local road network measured by smooth travel exposure. The actual quality of ride on the sealed local road network may differ materially from the result reported.As a result of these issues, our work was limited and there were no practicable audit procedures we could apply to obtain assurance over the reported result for the performance measure.",,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without further modifying our opinion, we draw attention to note 33 on page 128, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to retain water services in house, with the Council adopting a standalone business unit as the future delivery model for water, wastewater and stormwater. There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-39.3406925,174.2830931
Mackenzie District Council,2024/25,Non-standard,Qualified opinion,Service performance: Water services - bacterial and protozoal compliance,"Statement of service performance: Our work was limited in relation to the performance measures on providing safe drinking water, as measured by bacterial and protozoal compliance with the Drinking Water Quality Assurance Rules. The Council is required to report against the performance measures set out in the Non-Financial Performance Measure Rules 2024 made by the Secretary for Local Government. These mandatory performance measures include measures on the extent to which the Council’s water supplies comply with the bacterial and protozoal compliance criteria in the Drinking Water Quality Assurance Rules 2022 (the Rules). As explained on page 14 of the annual report, the Council did not assess its compliance against all of the relevant requirements of the Rules in relation to bacteria and protozoal compliance and has experienced several challenges in relation to maintaining and assessing water quality in compliance with the Rules. Our audit work also found issues with the completeness and accuracy of the Council’s record-keeping. As the actual compliance result was unknown, the Council has reported a result of 0% compliance with the Rules across all water supplies.As a result of these matters, our work was limited and there were no practicable audit procedures we could apply to determine whether the reported performance of 0% compliance reflects actual performance for these performance measures for the year ended 30 June 2025.",,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without further modifying our opinion, we draw attention to note 33 on pages 135 to 136 which outlines that in response to the Government’s Local Water Done Well reforms, the Council hasdecided to deliver water services itself directly.",,,,,,,,,,,-44.100649715,170.82921081
Hamilton City Council,2024/25,Non-standard,Qualified opinion,Financial statements,"Financial statements: Our work was limited over the carrying value of the Council’s water system, wastewater system, and stormwater system assets. As explained in the statement of accounting policies (note 1) and note 24 to the financial statements, the City Council measures water, wastewater and stormwater system assets (three waters systems assets) at fair value. PBE IPSAS 17 Property, Plant and Equipment requires entities that measure assets at fair value to carry out revaluations with sufficient regularity to ensure that revalued assets are not included at a value that is materially different to fair value. There is evidence that there may have been a material change in the fair value of the three waters systems assets since the last revaluation in 2022. The City Council has disclosed on page 266 that it engaged a valuer to perform a revaluation of the three waters systems assets for the year ended 30 June 2025. However, due to concerns with the results of this revaluation, which could not be resolved prior to adoption of the financial statements, the City Council has not recognised the revaluation in the 2025 financial statements.",,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without further modifying our opinion, we draw attention to page 221, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a jointly owned water organisation with Waikato District Council to deliver the water and wastewater assets and be responsible for delivering those services from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,,,-37.7881657,175.2809108
Whanganui District Council,2024/25,Non-standard,Qualified opinion,Service performance: Water services - response time,"Statement of service performance: The time taken to attend to and resolve water supply and wastewater faults, and to respond to customer service requests for roads and footpaths. Our audit testing of these performance measures identified significant issues with the Council’s systems and processes for completely and accurately recording the time taken to attend to and resolve water and waste faults, and to respond to customer service requests for roads and for footpaths as described on page 26.",Qualified opinion,Service performance: Smooth travel exposure,"Statement of service performance: The average quality of ride on the sealed local road network, measured by smooth travel exposure. Reported performance of this performance measure is based on surveys of road roughness and estimated traffic volumes. We were unable to obtain assurance over the reliability of estimated traffic volumes used in the calculation of this performance measure. This is because the majority of these estimates are not sufficiently up to date, as described on page 55 of the annual report. The actual average quality of ride on the sealed local road network may therefore differ materially from the result reported.",,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without further modifying our opinion, we draw attention to pages 194 to 195, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Ruapehu District Council to deliver water, wastewater and stormwater services from 1 July 2025. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-39.93275225,175.04880725
Tasman District Council,2024/25,Non-standard,Qualified opinion,Financial statements,"Financial statements: Our work was limited in respect of the impact of the 2025 weather events on the Council’s property, plant and equipment. As disclosed in volume 2 note 37 on pages 78 to 80, the Tasman district suffered two significant weather events around balance date, which caused extensive flooding and significant damage to a number of the Council’s assets, including its roading, bridges and river protection assets. The damage has not been accounted for in the financial statements because the Council is not yet able to estimate the costs to repair or replace these assets with sufficient reliability. This means the Council has not recognised any impairment for damaged but repairable assets or written off any assets that are damaged beyond repair. The Council is also unable to reliably distinguish between the extent of damage incurred before the financial year end and after.",,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without further modifying our opinion, we draw attention to volume 2 note 37 on page 77, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water services itself directly from 1 July 2027.
There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local
Government",,,,,,,,,,,-41.34154777,173.18687997
Kaipara District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to the note on pages 159 to 160, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Whangarei District Council and Far North District Council to deliver water and wastewater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,,,-35.94030453,173.8667702
Carterton District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 19 on pages 155 to 156, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned organisation with South Wairarapa, Masterton, and Tararua District Councils to deliver water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because the details of the exact arrangements are still being considered. In 1 Prepared under clause 26 of Schedule 10 to the Act and required to be audited.addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-41.0252097,175.5279615
Gisborne District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to Note 1B on page 153, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water services itself directly.There is some uncertainty as the proposal is yet to be accepted by the Secretary for LocalGovernment.",,,,,,,,,,,-38.6653066,178.0297253
Hastings District Council,2024/25,Non-standard,Qualified opinion,Service performance: Water services - counting the number of complaints,"Qualified opinion on the non-financial performance information. The Council is required to report against the performance measures set out in the Non- financial Performance Measure Rules 2013 made by the Secretary for Local Government. As explained on page 34, the Council was unable to accurately report the number of complaints received by its after hours customer services provider for each of the three waters services. Complete records of all after hours. complaints were not available, and the complaints system used by the after hours customer services provider also did not classify complaints between water supply, wastewater and stormwater. There were no practicable alternative audit procedures we could perform to obtain assurance over these performance measures.Our opinion on the prior year non-financial performance information (referred to as “our reporting framework”) was qualified for the same reasons as described above.",,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to Note 20 on page 128 which outlines that in response to the Government’s Local Water Done Well reform, the Council has decided to establish a multi-council-owned water organisation with Central Hawkes Bay District Council and Napier City Council to deliver water, wastewater and stormwater services from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-39.6452917,176.8424633
Rangitikei District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 24 on page 104 which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Palmerston North City Council and Horowhenua District Council to deliver water wastewater and stormwater services from 1 July 2027.The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-40.06816025,175.3746396
South Wairarapa District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 26 on pages 96 to 97, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Carterton, Masterton, and Tararua District Councils to deliver water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-41.2168861,175.4573932
Waipa District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 27 on pages 92 to 93 of the financial statements which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Hauraki, Matamata-Piako, Ōtorohanga, South Waikato, Waitomo and Taupo District Councils (the latter joining as a shareholder, but under particular share structure as has not committed to transferring responsibility for water services to the entity) from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,,,-38.01065322,175.32350797
Waimate District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 30 on page 100, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water, wastewater and stormwater services itself.
There is some uncertainty as the proposal is yet to be accepted by the Secretary for LocalGovernment.",,,,,,,,,,,-44.7345792801389,171.0463453482606
Kawerau District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 30 on page 48, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water services itsel",,,,,,,,,,,-38.0863671,176.7019282
Horowhenua District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 32 on pages 212 to 213, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Palmerston North City Council and Rangitikei District Councils to deliver water, wastewater and stormwater services from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still to be considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-40.6249981,175.284027
Ruapehu District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 34 on pages 56 to 57 of section 2 of the annual report, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Whanganui District Council to deliver certain water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government",,,,,,,,,,,-38.88555988,175.26092512
Far North District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to Note 36 on page 138, which outlines that in response to the Governments' Local Water Done Well reforms, the council has decided to establish a multi-owned water organisation with Whangarei District Council and Kaipara District Council to deliver water, waste water and stormwater as relevant services from July 2027.",,,,,,,,,,,-35.40954845,173.80061581500001
Palmerston North City Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to Note 37 on page 228, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Horowhenua and Rangitikei District Councils to deliver water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",Emphasis of matter paragraph,Greenhouse gas emissions,"Inherent uncertainties in the measurement of Greenhouse gas emissions. The Group has chosen to include a measure of its greenhouse gas (GHG) emissions in its performance information. In considering the public interest in climate change related information, we draw attention to page 112 which outlines the inherent uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because he scientific knowledge and methodologies to determine the emissions factors and processes to calculate or estimate quantities of GHG sources are still evolving, as are GHG reporting and assurance standards.",,,,,,,,-40.35596997,175.61139662
Grey District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to Note 37 on pages 68 and 69, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Westland District Council and Buller District Council to deliver water, wastewater and stormwater services from 1 July 2027.The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,,,-42.45246375,171.20970458
Tararua District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 39 on pages 257 to 258, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Carterton, Masterton, and South Wairarapa District Councils to deliver water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-40.2100175,176.0996214
Kaikoura District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 40 on page 137, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Hurunui District Council to deliver water, wastewater and stormwater services from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still
being considered.",,,,,,,,,,,-42.4028102,173.6825449
Dunedin City Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to note 42 on page 181, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water, wastewater and stormwater services itself. There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-45.8732912,170.5037334
Waitomo District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 126, which outlines that in response to the Government's Local Water Don Well reforms, the District Council has decided to establish a multi-owned water organisation with Waitomo District Council, Waipa District Council, Matamata-Piako District Council, Otorohanga District Council, Hauraki District Council, and Taupo District Council called Waikato Waters Limited to deliver water and wastewater servics from 1 July 2026. The financial impact of this decision is unknown because detail of the exact arrangement are still being considered.",,,,,,,,,,,-38.3376925,175.1646256
South Waikato District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 126, which outlines that in response to the Government's Local Water Done Well reforms, the District Council has decided to establish a multi-owned water organisation with Waitomo District Council, Waipa District Council, Matamata-Piako District Council, Otorohanga District Council, Hauraki District Council, and Taupō District Council called Waikato Waters Limited to deliver water and wastewater services from 1 July 2026. The financial impact of this decision is unknown because detail of the exact arrangement are still being considered.",,,,,,,,,,,-38.2203368,175.8737962
Kapiti Coast District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 141, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water services itself directly.There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-40.91556672,175.0032812
Southland District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 148 to 149, which outlines that in response to the Government's Local Water Done Well reform, the Council has decided to continue to deliver water services in-house from 1 July 2027. At the time of adopting this Annual Report the Secretary for Local Government had not confimred acceptance of the Council's water service delivery plan (WSDP) proposal, meaning there is some unertainity if changes may be required.",,,,,,,,,,,-46.41468002,168.34663615
Hauraki District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 168, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multiowned water organisation with five (possibly six) participating councils in the Waikato Region to deliver water and wastewater services during July 2025.The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,,,-37.3787131,175.6684826
Rotorua District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 177, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to deliver water services itself directly or establish a multi-council owned water organisation to deliver water, wastewater and stormwater services from July 2028. There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government",,,,,,,,,,,-38.13563,176.2551995
Otorohanga District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 46, which outlines that in response to the Government's Local Water Done Well reforms, the District Council has decided to establish a multi-owned water organisation with Waitomo District Council, Waipa District Council, Matamata‑Piako District Council, South Waikato District Council, Hauraki District COuncil and Taupō District Council called Waikato Waters Limited to deliver water and wastewater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,,,-38.1854989,175.2121915
Central Hawke's Bay District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 85 which outlines that in response to the Governments Local Water Done Well reform, the Council has decided to establish a multi-owned water organisation with Hastings District Council and Napier City Council to deliver water, wastewater and stormwater services. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-39.94412743259987,176.584444389014
Wairoa District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 90, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a wholly owned water organisation to deliver water, wastewater and stormwater services from 1 July 2027. There is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-39.0342334,177.4230544
Clutha District Council,2024/25,Non-standard,Qualified opinion,Service performance: Water services - response time,"Qualified Opinion on the Statement of Service Performance. We were unable to obtain sufficient appropriate audit evidence for some of the performanceinformation related to each of the three waters services. From 1 July 2023 new contractor arrangementswere put in place for the delivery of water, wastewater and stormwater services at Council. Due to thetransition, data related to response times to customer notifications and resolution of faults orinterruptions was either not captured, or inaccurately captured for multiple months during the 2024/25 period, meaning Council has been unable to accurately report certain measures.",,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to page 96, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Gore District Council and Central Otago District Council to deliver water, wastewater and stormwater as relevant services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local Government.",,,,,,,,,,,-46.2484542,169.71851412
Porirua City Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to pages 134 to 135 which outline that in response to the Government’s Local Water Done Well reform, the Council has decided to establish a multi-councilowned water organisation with Upper Hutt City, Hutt City, Wellington City and Greater Wellington Regional Council to deliver water, wastewater and stormwater services from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still being considered. In addition, there is some uncertainty as the proposal is yet to be accepted by the Secretary for Local
Government.",,,,,,,,,,,-41.1350184,174.8395035
Waitaki District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to pages 176, which outlines that the Secretary for Local Government has not accepted the Council’s water services delivery plan. In that plan, the Council had proposed to maintain the status quo to deliver its water, wastewater and stormwater services.Due to this decision, the Council is expected to work with a Crown Facilitator appointed to re-draft the plans for delivery of water services. Council will likely incur additional cost in the future as it refines its non-compliant plan or develops alternative solutions. The magnitude of any such additional costs cannot be determined at this point as Council has not yet met to decide the next steps in the process.",,,,,,,,,,,-45.10103212,170.96890847
Whangarei District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. Without modifying our opinion, we draw attention to pages 286, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multiowned water organisation with Kaipara District Council and Far North District Council to deliver water and wastewater as relevant services from July 2027.The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,,,-35.7238665,174.3171612
Gore District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Future of water delivery,"Future of water delivery: Without modifying our opinion, we draw attention to page 102, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Central Otago District Council and Clutha District Council to deliver water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,,,,-46.10222728,168.94176103
Central Otago District Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Inherent uncertainties in the measurement of greenhouse gas emissions,"Inherent uncertainties in the measurement of greenhouse gas (GHG) emissions. The Council has chosen to include a measure of its GHG emissions in its performance information. In considering the public interest in climate change related information, we draw attention to the
“measuring emissions” disclosure on page 21, which outlines the uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because the scientific knowledge and methodologies to determine the emissions factors and processes to calculate or estimate quantities of GHG sources are still evolving, as are GHG reporting and assurance standards.",Emphasis of matter paragraph,Future of water delivery,"Future of water delivery. We draw attention to pages 163, which outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Gore District Council and Clutha District Council to deliver water, wastewater and stormwater services from 1 July 2027. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.",,,,,,,,-45.25672455,169.389591
Waikato Regional Council,2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Inherent uncertainties in the measurement of greenhouse gas emissions,"Inherent uncertainties in the measurement of greenhouse gas emissions The Council has chosen to include a measure of its greenhouse gas (GHG) emissions in its performance information. Without modifying our opinion and considering the public interest in climate change related information, we draw attention to Section 2 on page 11 of the annual report, which outlines the inherent uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because the scientific knowledge and methodologies to determine the emissions factors and processes to calculate or estimate quantities of GHG sources are still evolving, as are GHG reporting and assurance standards.",,,,,,,,,,,-37.78832787,175.27793617
Environment Southland (Southland Regional Council),2024/25,Non-standard,,,,,,,,,,Emphasis of matter paragraph,Inherent uncertainties in the measurement of greenhouse gas emissions,"Inherent uncertainties in the measurement of greenhouse gas emissions. The Council has chosen to include a measure of its greenhouse gas (GHG) emissions in its performance information. Without modifying our opinion and considering the public interest in climate change related information, we draw attention to Measure 19 on page 25 of the annual report, which outlines the inherent uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because the scientific knowledge and
methodologies to determine the emissions factors and processes to calculate or estimate quantities of GHG sources are still evolving, as are GHG reporting and assurance standards.",,,,,,,,,,,-46.38067962,168.3470941
Christchurch City Council,2024/25,Non-standard,Qualified opinion,Service performance: Smooth travel exposure,"Statement of service performance: Our work in the prior year was limited in relation to the performance measure. The average quality of ride on the sealed local road network, measured by smooth travel exposure The Council is required to report against the performance measures set out in the Non-Financial Performance Measure Rules 2024 (the Rules) made by the Secretary for Local Government. These mandatory performance measures include the average quality of ride on the sealed local road network measured by smooth travel exposure. This performance measure is important because road smoothness is indicative of the quality of service provided to the community. For the 30 June 2024 performance year, we were unable to obtain assurance over the accuracy of traffic estimate data used to calculate the performance measure, because this estimate data was not sufficiently up to date, as described on pages 132 and 133 of the annual report. The actual average quality of ride on the sealed local road network in the prior year may therefore differ materially from the result reported. As a result, our work was limited and there were no practicable audit procedures we could apply to obtain assurance over the accuracy of reported performance for this measure for the 2024 performance year, reported as comparative information. Our audit opinion on the statement of service performance for the year ended 30 June 2024 was modified accordingly. This issue has been resolved for the 30 June 2025 year. As the limitation on our work cannot be resolved for the 30 June 2024 year, the Council’s performance information reported for this measure for the 30 June 2025 year may not be directly comparable to the 30 June 2024 performance information.",,,,,,,Emphasis of matter paragraph,Inherent uncertainties in the measurement of greenhouse gas emissions,"Inherent uncertainties in the measurement of greenhouse gas emissions. The Council has chosen to include measures of its greenhouse gas (GHG) emissions in its statement of performance. Considering the public interest in climate change related information, we draw attention to page 184 of the annual report, which outlines the inherent uncertainty in the reported GHG emissions. Quantifying GHG emissions is subject to inherent uncertainty because the scientific knowledge and methodologies to determine the emission factors and processes to calculate or estimate quantities of GHG sources is still evolving, as are GHG reporting and assurance standards.",,,,,,,,,,,-43.5317393,172.6317369
