School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Saint Mary's School (Blenheim),"Nelson, Marlborough, West Coast",2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not have a plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.952782,-41.517618
Saint Peter Chanel School (Motueka),"Nelson, Marlborough, West Coast",2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.010998,-41.126308
Te Kura Toitu O Te Whaiti-Nui-A-Toi,"Bay of Plenty, Waiariki",2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.776491,-38.589193
Te Kura Kaupapa Maori o Waiuku,Tāmaki Herenga Waka,2018,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2019.,,,,,174.73125,-37.2551
Te Kura Kaupapa Maori o Waiuku,Tāmaki Herenga Waka,2019,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2020.,,,,,174.73125,-37.2551
Te Kura Kaupapa Maori o Waiuku,Tāmaki Herenga Waka,2020,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2021.,,,,,174.73125,-37.2551
Te Ra School,Wellington,2022,Limitation,Our audit was limited because we were unable to determine the extent of the provision for cyclical maintenance required to be recorded in the School’s financial statements. The school did not record a provision for cyclical maintenance and there was no sufficient evidence that a provision for cyclical maintenance is not required. ,,,,,174.984668,-40.937769
Fraser High School,Waikato,2022,Highlighted matter,We drew attention to disclosures that the school has prepared its financial statements on a going concern basis because the school has received a letter of support from the Ministry of Education which confirmed its intention to continue supporting the school.,,,,,175.244737,-37.784283
Nuhaka School,"Hawke's Bay, Tairāwhiti",2022,Highlighted matter,"We drew attention to disclosures outlining that the school faced significant damage and disruption due to the extreme weather events in Hawkes Bay, which occurred after 31 December 2022. The financial impact of the damage is yet to be determined, but the Board expects these costs to be significant.",,,,,177.738822,-39.045507
Omahu School,"Hawke's Bay, Tairāwhiti",2022,Highlighted matter,"We drew attention to disclosures outlining that the school faced significant damage and disruption due to the extreme weather events in Hawkes Bay, which occurred after 31 December 2022. The financial impact of the damage is yet to be determined, but the Board expects these costs to be significant.",,,,,176.759164,-39.581786
Saint Mary's School (Hastings),"Hawke's Bay, Tairāwhiti",2022,Highlighted matter,"We drew attention to disclosures outlining that the school faced significant damage and disruption due to the extreme weather events in Hawkes Bay, which occurred after 31 December 2022. The financial impact of the damage is yet to be determined, but the Board expects these costs to be significant.",,,,,176.847238,-39.623917
Te Aratika Academy,"Hawke's Bay, Tairāwhiti",2022,Highlighted matter,"We drew attention to disclosures outlining that the school faced significant damage and disruption due to the extreme weather events in Hawkes Bay, which occurred after 31 December 2022. The financial impact of the damage is yet to be determined, but the Board expects these costs to be significant.",,,,,176.892938,-39.617538
Kerikieri Primary School,Tai Tokerau,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,173.956451,-35.228343
Mohaka School,"Hawke's Bay, Tairāwhiti",2020,Highlighted matter,We highlighted that the Board of Trustees breached the law by failing to submit its financial statements for audit to the Auditor-General by 31 March 2021 and the audited financial statements to the Ministry of Education by 31 May 2021.,,,,,177.190829,-39.117133
Mopua School,Tai Tokerau,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,174.11777,-35.314587
Te Kura kaupapa Maori o Ngati Kahungunu O Te Wairoa,"Hawke's Bay, Tairāwhiti",2019,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. We highlighted that the Board of Trustees breached the law by failing to submit its financial statements for audit to the Auditor-General by 31 March 2020 and the audited financial statements to the Ministry of Education by 31 May 2020.,,,,,177.417864,-39.041005
Te Kura Kaupapa Maori o Takapau,"Hawke's Bay, Tairāwhiti",2019,Pervasive limitation,"We were unable to form an opinion because we were unable to obtain adequate evidence to provide a basis for an audit opinion on the account balances for the year ended 31 December 2019. We issued a disclaimer of opinion on the 2018 financial statements. This is because the previous accounting service provider introduced a new accounting system in August 2018 and all the accounting data and supporting documents stored on the previous accounting system were lost. The school also did not retain a copy of the accounting data and supporting documents and the previous accounting service provider has since ceased to operate. We issued a disclaimer of opinion for the year ended 31 December 2018. Our audit was also limited because we were unable to obtain enough evidence over the receivables balances due to the school not having adequate controls over the collection of salary advances. In addition, we drew attention to disclosures outlining  three matters. First, the school faced the possible effects of the Alert Level 4 lockdown as a result of the COVID-19 pandemic. Secondly, the school breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2020. Last, the school breached the law by failing to submit an Analysis of Variance to the Ministry of Education by 31 May 2020.",,,,,176.349137,-40.025569
The Taumarunui High School Community Trust,Tāmaki Herenga Manawa,2022,Limitation,Our audit was limited because we could not get enough assurance about the revenues. The Board  had limited controls over those revenues.,,,,,174.770963,-36.919501
Te Mata School (Havelock North),"Hawke's Bay, Tairāwhiti",2022,Highlighted matter,"We drew attention to disclosures outlining that the school faced significant damage and disruption due to the extreme weather events in Hawkes Bay, which occurred after 31 December 2022. The financial impact of the damage is yet to be determined, but the Board expects these costs to be significant.",,,,,176.891791,-39.664097
Te Kura Kaupapa Maori o Takapau,"Hawke's Bay, Tairāwhiti",2020,Highlighted matter,"We drew attention to two matters. Firstly, the Board breached the law by failing to submit its financial statements for audit to the Auditor-General by 31 March 2021 and the audited financial statements to the Ministry of Education by 31 May 2021. Last, the Board breached the law by failing to submit an Analysis of Variance to the Ministry of Education by 31 May 2021.",,,,,176.349137,-40.025569
Westminister Christian School,Tāmaki Herenga Tāngata,2021,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.710163,-36.76112
William Colenso College,"Hawke's Bay, Tairāwhiti",2021,Disagreement,"We disagreed with the Board of Trustees not preparing group financial statements that included its subsidiary, the William Colenso College Charitable Trust Board. This is a departure from generally accepted accounting practice, which requires the Board of Trustees to present consolidated financial statements. Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.895837,-39.506065
Yendarra School,Tāmaki Herenga Waka,2021,Limitation,Our audit was limited becauset he Board failed to comply with the Property Occupancy Document which requires the Board to prepare and annually review a property plan that includes all the maintenance requirements of the school over a continuous ten-year period. The school's long-term maintenance planning is not prepared or independently assessed in the last three years.,,,,,174.877703,-36.966108
Te Waha o Rerekohu Combined Schools Board,"Hawke's Bay, Tairāwhiti",2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,178.365549,-37.633719
Twyford School,"Hawke's Bay, Tairāwhiti",2022,Highlighted matter,"We drew attention to disclosures outlining that the school faced significant damage and disruption due to the extreme weather events in Hawkes Bay, which occurred after 31 December 2022. The financial impact of the damage is yet to be determined, but the Board expects these costs to be significant.",,,,,176.796906,-39.601147
Ngatea School,Waikato,2021,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2022.,,,,,175.493406,-37.27529
Timaru Christian School,"Canterbury, Chatham Islands",2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,171.228316,-44.403579
Pukepoto School,Tai Tokerau,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,173.213725,-35.159075
Kaikorai School,"Otago, Southland",2022,Highlighted matter,We drew attention to disclosures outlining that the school has not recognised a provision for cyclical maintenance. The school could not reliably estimate the maintenance required on the school's buildings because they are being constructed under the Schools Rebuild Programme.,,,,,170.491007,-45.865445
Saint Bernadeete's School (Naenae),Wellington,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,174.953131,-41.201424
Nelson College,"Nelson, Marlborough, West Coast",2022,Highlighted matter,"We drew attention to disclsures regarding two matters. First, it was determined that the Nelson College Trust Foundation should be  a controlled entity of the School for financial reporting purposes. The consolidation of the Foundation's material accounts  was carried out by way of a prior period adjsutment to the school's financial statements. Last, the school is experiencing serious financial difficulties. The Board has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. We highlighted that the Board failed to comply with the Education and Training Act 2020 in two matters. First, it did not get permission from the Ministers of Education and Finance before it borrowed money. The amount to be repaid, in total, is more than 10% of the school's operational activities grant for the year. Last, a controlled entity of the Board acquired securities, without obtaining joint approval from the Ministers of Education and Finance.",,,,,173.275569,-41.285573
Upper Mouterre School,"Nelson, Marlborough, West Coast",2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.004993,-41.270234
Rangiora High School,"Canterbury, Chatham Islands",2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.598729,-43.298192
Kaikohe West School,Tai Tokerau,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,173.791741,-35.407063
Timatanga Community School,Tāmaki Herenga Tāngata,2022,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not comply with the generally accepted accounctiong practice and did not have a plan for cyclical maintenance. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.612391,-36.798577
Aranga School,Tai Tokerau,2022,Limitation,"Our audit was limited in respect of the comparative information included in the financial statements because, in the prior year we had been unable to get enough audit evidence to support the provision for cyclical maintenance. However, for the current year ended on 31 December 2022, we were able to obtain suffficient assurance that the provision for cyclical maintenance was not materially misstated.",,,,,173.613785,-35.738759
Kaitoke School,Tāmaki Herenga Manawa,2022,Limitation,Our audit was limited because we were unable to obtain sufficient appropriate evidence to determine the completeness of the provision for cyclical maintenance.  The Board has not provided a schedule of maintenance or quotes to support the maintenance the school needs to carry out on those buildings.,,,,,175.472761,-36.256771
Matata School,"Bay of Plenty, Waiariki",2021,Limitation,Our audit was limited because we were unable to obtain sufficient appropriate evidence to determine the completeness of the provision for cyclical maintenance. The Board failed to comply with the Property Occupancy Document by not preparing and annually reviewing a property plan that includes all the maintenance requirements of the school over a ten-year period.,,,,,176.759104,-37.893318
Okiwi School,Tāmaki Herenga Manawa,2022,Limitation,Our audit was limited because we were unable to obtain sufficient appropriate evidence to determine the completeness of the provision for cyclical maintenance.  The Board has not provided a schedule of maintenance or quotes to support the maintenance the school needs to carry out on those buildings.,,,,,175.394392,-36.154905
Swannanoa School,"Canterbury, Chatham Islands",2021,Highlighted matter,We drew attention to disclosures outlining that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2022.,,,,,172.495566,-43.369342
Southern Cross Campus,Tāmaki Herenga Waka,2022,Highlighted matter,"We drew attention to disclosures outlining that the school gave $15,000 of gift vouchers to the families of students who experienced hardship due to the impact during the 2022 Covid-19 lockdown restrictions. Although there were records of the families that received the vouchers, we could not obtain adequate evidence to verify the criteria used for allocating the vouchers to establish that the expenditure on the gift vouchers was directly linked to an
educational purpose.",,,,,174.816726,-36.964291
Te Rangi Aniwaniwa,Tai Tokerau,2020,Highlighted matter,We hghlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2021.,,,,,173.289687,-35.070132
Tuakau College,Tāmaki Herenga Waka,2019,Limitation,"Our audit was limited because we were unable to confirm the accurary and classification of the amounts recorded in the 31 December 2019 financial statements relating to the overseas trip, including revenue, expenses and funds held in trust. We could not reconcile the fundraising and contributions  because there were inconsistencies in the disclosures.  We note that these disclosures were  misstated  as they omitted information relevant to the readers’ understanding of the events after balance date. We highlighted  that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2020.",,,,,174.93426,-37.263023
Tuakau College,Tāmaki Herenga Waka,2020,Limitation,"Our audit was limited because we were unable to confirm the accurary and classification of the amounts recorded in the 31 December 2019 and 31 December 2020 financial statements relating to the overseas trip, including revenue, expenses and funds held in trust. We could not reconcile the fundraising and contributions  because there were inconsistencies in the disclosures.  We identified material inconsistencies between the amounts disclosed in the  2020 financial statements for the 2019 year and those recorded in the 2019 financial statements  for ‘Accounts Receivable’, ‘Prepayments’, and ‘Funds held in Trust’.  There were no sufficient details  to support these inconsistencies. We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2021.",,,,,174.93426,-37.263023
Shotover Primary School,"Otago, Southland",2022,Highlighted matter,We drew attention to disclosures outlining that the School made a donation to the Shotover Primary School Foundation. It is not appropriate for the school to donate to the Foundation which is not a public entity. There is no guarantee that the school will receive a direct benefit from those funds. The school had requested that the donated amount be returned but no agreement has been reached with the Foundation at the date of signing the audit report.,,,,,168.776627,-45.005745
Pakowhai School,"Hawke's Bay, Tairāwhiti",2021,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,176.863311,-39.581205
Onekawa School,"Hawke's Bay, Tairāwhiti",2021,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,176.893107,-39.505535
Patoka School,"Hawke's Bay, Tairāwhiti",2021,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,176.605377,-39.347197
Porritt School,"Hawke's Bay, Tairāwhiti",2021,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,176.865427,-39.516268
Port Ahuriri School,"Hawke's Bay, Tairāwhiti",2021,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,176.8984,-39.485684
Puketapu School (Hawke's Bay),"Hawke's Bay, Tairāwhiti",2021,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,176.791194,-39.506323
Putorino School,"Hawke's Bay, Tairāwhiti",2021,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,177.00688,-39.134348
Pukekohe North School,Tāmaki Herenga Waka,2019,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school. ,,,,,174.895974,-37.195792
Galatea School,"Bay of Plenty, Waiariki",2019,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school.  We also drew attention to disclosures outlining that the school breached the law by failing to submit the audited financial statements to the Ministry of Education by 31  May 2020 .,,,,,176.741362,-38.410808
Turanga Rangata Rite School,"Hawke's Bay, Tairāwhiti",2019,Highlighted matter, We drew attention to disclosures outlining the uncertainties over the possible effects of the lockdown response to Covid-19 on the school.  We also drew attention to disclosures outlining that the school breached the law by failing to submit the audited financial statements to the Ministry of Education by 31  May 2020 .,,,,,178.022022,-38.668323
Aranga School,Tai Tokerau,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.613785,-35.738759
Āria School,Waikato,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.985763,-38.563158
Centennial Park School,Waikato,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.174234,-38.335869
Cheviot Area School,"Canterbury, Chatham Islands",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. We highlighted that the school breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2021.",,,,,173.275547,-42.811459
Cheviot Area School,"Canterbury, Chatham Islands",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.275547,-42.811459
Christchurch South Karamata Intermediate School,"Canterbury, Chatham Islands",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.625329,-43.552165
Combined Board South Auckland Middle School and Middle School West Auckland,Tāmaki Herenga Waka,2019,Limitation,"Our audit of the comparative information in the financial statements was limited. In the prior year, we had been unable to get enough assurance about the expenditure of $467,391 for services relating to the transition of South Auckland Middle School and Middle School West Auckland from being partnership schools sponsored by Villa Education Trust, to state designated character schools. The Combined Board has the same members as the board of trustees of the Villa Education Trust with the addition of the Principals of both schools. ",Highlighted matter,"We drew attention to disclosures outlining the uncertainties over the management fees of $145,795 to Villa Education Trust during 2019. There was no detailed breakdown of services to be provided and how the costs of those services were ascertained. At the time when the management fees were agreed, the Combined Board and the board of trustees of the Villa Education Trust, consisted of the same members except for the principals of the schools. The Combined Board has resolved the management fee issue for the year ended 31 December 2019. We highlighted that the Combined Board failed to obtain approval from the Ministry of Education for payments to an entity in which a trustee has an interest where the amount is in excess of $25,000. We also highlighted that the Board of Trustees breached the law by failing to submit its financial statements to the Ministry of Education by 31 May 2020.",,,174.88353,-37.040239
Forrest Hill School,Tāmaki Herenga Tāngata,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.749433,-36.773717
John Paul College,"Bay of Plenty, Waiariki",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.229637,-38.143035
Kaitoke (Claris),Tāmaki Herenga Manawa,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.472761,-36.256771
Linkwater School,"Nelson, Marlborough, West Coast",2021,Limitation,Our audit was limited because we could not get enough assurance about the receipt of fundraising revenue. The Trustees had limited controls over that revenue.,,,,,173.87947,-41.289162
Mount Richmond School,Tāmaki Herenga Waka,2021,Limitation,Our audit was limited because the Board has not prepared and annually reviewed a property plan that includes all the maintenance requirements of the School over a continuous ten-year period.,,,,,174.841867,-36.93942
Napier Boys' High School,"Hawke's Bay, Tairāwhiti",2021,Limitation,"Our audit was limited because we were unable to determine the fair value of the interest in Napier High Schools Land  Endowment Trusts (the Endowment Trust), a third of which is owned by Napier Boys High School Charitable Trust, an entity controlled by the school. The Endowment Trust uses the fair value model in accordance with GAAP to measure its investments. The investment properties were valued during the year using their respective quotable values, which is contrary to the requirement of GAAP to reflect market conditions at the reporting date. The Group did not determine the difference between the quotable value and the current market value, which is expected to be material. ",,,,,176.916453,-39.514768
Napier Girls' High School,"Hawke's Bay, Tairāwhiti",2021,Limitation,"Our audit was limited because we were unable to determine the fair value of the interest in Napier High Schools Land Endowment Trusts (the Endowment Trust), a third of which is owned by Napier Girls High School Charitable Trust, an entity controlled by the school. The Endowment Trust uses the fair value model, in keeping with generally accepted accounting practice (GAAP), to measure its investments. The investment properties were valued during the year using their respective quotable values, which is contrary to the requirement of GAAP, to reflect market conditions at the reporting date. The Group did not determine the difference between the quotable value and the current market value, which is expected to be material.",,,,,176.915037,-39.48566
Okiwi School,Tāmaki Herenga Manawa,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.394392,-36.154905
Otewa School,Waikato,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.289319,-38.228415
Parakai School,Tāmaki Herenga Tāngata,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,174.432924,-36.663249
Piopio Primary School,Waikato,2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,175.014754,-38.47155
Pukekohe Intermediate School,Tāmaki Herenga Waka,2020,Limitation,"Our audit of the comparative information included in the current financial statements was limited because we previously could not get enough assurance about, and the Board had limited controls over, revenue  from international students for the year ended 31 December 2019.",,,,,174.901574,-37.2036
Pukekohe Intermediate School,Tāmaki Herenga Waka,2018,Limitation,Our audit was limited because we could not get enough assurance about receipts of revenue from international students. The Board had limited controls over that revenue.,,,,,174.901574,-37.2036
Pukekohe Intermediate School,Tāmaki Herenga Waka,2019,Limitation,Our audit was limited because we could not get enough assurance about receipts of revenue from international students. The Board had limited controls over that revenue.,,,,,174.901574,-37.2036
Pukekohe North School,Tāmaki Herenga Waka,2021,Limitation,Our audit was limited because we could not get enough assurance about the receipt of fundraising revenue. The Board  had limited controls over that revenue.,,,,,174.895974,-37.195792
Pukenui School (Te Kuiti),Waikato,2021,Limitation,Our audit was limited because we could not get enough assurance about the fundraising and community grants revenue. The Board  had limited controls over those revenues.,,,,,175.160672,-38.341451
Putere School,"Hawke's Bay, Tairāwhiti",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",Highlighted matter, We drew attention to disclosures about the uncertainties over the possible effects of lockdown response to Covid-19 on the school.,,,177.027722,-38.943664
Rangiora Borough School,"Canterbury, Chatham Islands",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.590275,-43.30538
Reefton Area School,"Nelson, Marlborough, West Coast",2020,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",Highlighted matter,We highlighted that the school breached the law by failing to submit the audited financial statements to the Ministry of Education by 31  May 2021. ,,,171.860874,-42.115241
Riwaka School,"Nelson, Marlborough, West Coast",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.999162,-41.076405
Sacred Heart School (Reefton),"Nelson, Marlborough, West Coast",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,171.867433,-42.117611
Saint Mary's School (Blenheim),"Nelson, Marlborough, West Coast",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,173.952782,-41.517618
Te KKM o Ngati Kahungunu Ki Heretaunga,"Hawke's Bay, Tairāwhiti",2018,Limitation,"Our audit was limited because we could not verify some spending that was under the direct control of the Board except employee benefits, use of land and building and depreciation. These three expenses were verified by alternative means. This limitation arose because the Board of Trustees did not maintain adequate supporting documentation for payments or evidence of approval. ",Highlighted matter,We drew attention to disclosures outlining that the Board breached the law by failing to submit its audited financial statements to the Ministry of Education by 31 May 2019.,,,176.786401,-39.642661
Te Kura Kaupapa Maori o Takapau,"Hawke's Bay, Tairāwhiti",2018,Pervasive limitation,We were unable to form an opinion because the previous accounting service provider introduced a new accounting system in August 2018 and all the accounting data and supporting documents stored on the previous accounting system were lost.  The school also did not retain a copy of the accounting data and supporting documents and the previous accounting service provider has since ceased to operate. ,Highlighted matter,We drew attention to disclosures outlining that the school breached the law by failing to submit the audited financial statements to the Ministry of Education by 31  May 2019.,,,176.349137,-40.025569
Te Kura Kaupapa Maori o Taumarere,Tai Tokerau,2021,Limitation,Our audit was limited because we were unable to determine whether the provision for cyclical maintenance was accurately estimated. The provision was based on plan which was not reliable because it was prepared for the school before it was rebuilt in 2020.   ,,,,,174.021052,-35.388157
Te Kura Toitu O Te Whaiti-Nui-A-Toi,"Bay of Plenty, Waiariki",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,176.776491,-38.589193
Te Ra Waldorf School,Wellington,2020,Limitation,Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. The school did not comply with the generally accepted accounting practice to record a provision for cyclical maintenance. The school failed to comply with the Deed of Agreement by not preparing and reviewing a property plan that includes all the maintenance requirements over a ten-year period.,Highlighted matter,"We drew attention to disclosures outlining tthe uncertainty over the Covid-19 wage subsidy of $58,978 that the school submitted and received on behalf of the Kapiti Waldorf Trust (the Trust). The school or the Trust are not eligible for the subsidy but could ask for an exception and apply for it. No exception was sought from the Ministry  of Education as the monitoring agency of the school.",,,174.984668,-40.937769
Te Waha o Rerekohu Combined Schools Board,"Hawke's Bay, Tairāwhiti",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,178.365549,-37.633719
The Taumarunui High School Community Trust,Tāmaki Herenga Manawa,2021,Limitation,Our audit was limited because we could not get enough assurance about revenues. The Trustees had limited controls over those revenues.,,,,,174.770963,-36.919501
Waatea School,Tāmaki Herenga Waka,2019,Limitation,Our audit was limited because we could not get enough assurance about the receipt of locally-raised funds revenue. The Trustees had limited controls over that revenue.,Highlighted matter, We highlighted that the Board of Trustees breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2020.,,,174.801896,-36.961083
Te Wharekura o Manuwera,Tāmaki Herenga Waka,2020,Highlighted matter,We drew attention to disclosures outlining that the financial statements were appropriately prepared on a disestablishment basis because the school was combined into a new legal entity as at 2 October 2020.,,,,,174.85734,-37.02442
Shotover Primary School,"Otago, Southland",2021,Highlighted matter,"We drew attention to disclosures outlining that the school donated $200,000 to the Shotover Primary School Foundation which is not a public entity. As it is not appropriate for the school to donate to a private entity, the school requested the donated amount to be returned. At the date of the audit report, there was no agreement reached with the Foundation.",,,,,168.776627,-45.005745
Otago Boys High School,"Otago, Southland",2021,Highlighted matter,"We drew attention to disclosures outlining that the school failed to comply with the law by failing to obtain approval from the Minister of Education for entering into a leae arrangement and acquiring  a license to occupy land. The school has donated $50,000 to Otago Boys High School Foundation to support the purchase of the land that was acquired on lease.",,,,,170.495877,-45.870985
